,IDSV,IDMON,DIEM
0,0.0,0.0,3.0
1,0.0,3.0,3.0
2,0.0,4.0,4.0
3,0.0,5.0,2.5
4,0.0,7.0,3.0
5,0.0,8.0,3.0
6,0.0,9.0,3.0
7,0.0,10.0,2.5
8,0.0,12.0,2.5
9,0.0,13.0,2.5
10,0.0,15.0,3.4
11,0.0,18.0,3.0
12,0.0,19.0,4.0
13,0.0,20.0,3.75
14,0.0,21.0,3.25
15,0.0,22.0,3.75
16,0.0,23.0,3.55
17,0.0,24.0,3.55
18,0.0,25.0,3.3
19,0.0,26.0,3.2
20,0.0,27.0,3.9
21,0.0,28.0,3.25
22,0.0,29.0,2.9
23,0.0,30.0,3.4
24,0.0,31.0,3.15
25,0.0,32.0,4.2
26,0.0,33.0,3.5
27,0.0,34.0,3.25
28,0.0,35.0,2.65
29,0.0,36.0,2.9
30,0.0,37.0,2.85
31,0.0,38.0,2.6
32,0.0,39.0,3.75
33,0.0,40.0,3.8
34,0.0,41.0,3.6
35,0.0,42.0,3.15
36,0.0,43.0,4.1
37,0.0,44.0,3.15
38,0.0,45.0,3.5
39,0.0,46.0,4.35
40,0.0,47.0,4.35
41,0.0,48.0,4.0
42,0.0,49.0,3.25
43,0.0,51.0,4.5
44,1.0,0.0,5.0
45,1.0,1.0,3.5
46,1.0,2.0,3.5
47,1.0,3.0,3.0
48,1.0,4.0,3.5
49,1.0,5.0,3.0
50,1.0,6.0,3.0
51,1.0,7.0,3.25
52,1.0,8.0,4.5
53,1.0,9.0,4.0
54,1.0,10.0,3.0
55,1.0,11.0,2.5
56,1.0,12.0,5.0
57,1.0,13.0,3.0
58,1.0,14.0,3.5
59,1.0,15.0,4.25
60,1.0,17.0,3.75
61,1.0,18.0,3.15
62,1.0,19.0,4.0
63,1.0,20.0,3.4
64,1.0,21.0,3.25
65,1.0,22.0,3.75
66,1.0,23.0,3.9
67,1.0,24.0,3.65
68,1.0,25.0,3.55
69,1.0,26.0,3.9
70,1.0,27.0,3.75
71,1.0,28.0,3.0
72,1.0,29.0,3.25
73,1.0,30.0,3.85
74,1.0,31.0,3.0
75,1.0,32.0,3.45
76,1.0,33.0,4.0
77,1.0,34.0,2.85
78,1.0,35.0,2.95
79,1.0,36.0,3.0
80,1.0,37.0,3.35
81,1.0,38.0,3.55
82,1.0,39.0,3.65
83,1.0,40.0,3.65
84,1.0,41.0,3.15
85,1.0,42.0,3.0
86,1.0,43.0,2.95
87,1.0,44.0,2.8
88,1.0,45.0,3.5
89,1.0,46.0,4.35
90,1.0,47.0,3.85
91,1.0,48.0,3.85
92,1.0,49.0,4.0
93,1.0,51.0,4.15
94,2.0,0.0,3.0
95,2.0,1.0,3.5
96,2.0,2.0,4.0
97,2.0,3.0,3.5
98,2.0,4.0,2.5
99,2.0,6.0,3.45
100,2.0,7.0,2.55
101,2.0,8.0,3.5
102,2.0,9.0,4.0
103,2.0,10.0,2.5
104,2.0,11.0,2.5
105,2.0,12.0,4.0
106,2.0,13.0,3.5
107,2.0,14.0,3.5
108,2.0,15.0,3.65
109,2.0,17.0,3.65
110,2.0,18.0,3.0
111,2.0,19.0,3.25
112,2.0,20.0,2.75
113,2.0,21.0,3.0
114,2.0,22.0,3.4
115,2.0,23.0,2.95
116,2.0,24.0,3.45
117,2.0,25.0,3.8
118,2.0,26.0,3.3
119,2.0,27.0,3.65
120,2.0,28.0,3.75
121,2.0,29.0,3.15
122,2.0,30.0,2.5
123,2.0,31.0,3.0
124,2.0,32.0,4.2
125,2.0,33.0,3.15
126,2.0,34.0,2.65
127,2.0,35.0,2.7
128,2.0,36.0,3.5
129,2.0,37.0,3.4
130,2.0,38.0,2.8
131,2.0,39.0,4.25
132,2.0,40.0,3.65
133,2.0,41.0,3.2
134,2.0,42.0,3.5
135,2.0,43.0,3.95
136,2.0,44.0,3.65
137,2.0,45.0,4.5
138,2.0,46.0,3.35
139,2.0,47.0,4.0
140,2.0,48.0,3.7
141,2.0,49.0,4.0
142,2.0,51.0,4.25
143,3.0,0.0,4.0
144,3.0,1.0,3.0
145,3.0,2.0,4.0
146,3.0,3.0,3.5
147,3.0,4.0,3.5
148,3.0,5.0,3.5
149,3.0,6.0,3.0
150,3.0,7.0,3.0
151,3.0,8.0,4.0
152,3.0,9.0,4.0
153,3.0,10.0,3.0
154,3.0,11.0,3.0
155,3.0,12.0,4.5
156,3.0,13.0,3.0
157,3.0,14.0,3.5
158,3.0,15.0,3.75
159,3.0,17.0,3.75
160,3.0,18.0,2.9
161,3.0,19.0,3.25
162,3.0,20.0,3.0
163,3.0,21.0,3.0
164,3.0,22.0,3.15
165,3.0,23.0,3.15
166,3.0,24.0,3.3
167,3.0,25.0,3.9
168,3.0,26.0,3.65
169,3.0,27.0,4.25
170,3.0,28.0,4.4
171,3.0,29.0,3.15
172,3.0,30.0,3.45
173,3.0,31.0,3.5
174,3.0,32.0,4.2
175,3.0,33.0,3.15
176,3.0,34.0,3.1
177,3.0,35.0,3.0
178,3.0,36.0,3.15
179,3.0,37.0,3.35
180,3.0,38.0,3.25
181,3.0,39.0,3.7
182,3.0,40.0,3.85
183,3.0,41.0,3.45
184,3.0,42.0,2.65
185,3.0,43.0,3.6
186,3.0,44.0,3.65
187,3.0,45.0,4.25
188,3.0,46.0,3.5
189,3.0,47.0,4.0
190,3.0,48.0,4.85
191,3.0,49.0,4.1
192,3.0,51.0,4.4
193,4.0,0.0,4.0
194,4.0,1.0,3.0
195,4.0,2.0,4.5
196,4.0,3.0,3.5
197,4.0,4.0,3.5
198,4.0,5.0,4.0
199,4.0,6.0,3.0
200,4.0,7.0,3.5
201,4.0,8.0,3.5
202,4.0,9.0,3.5
203,4.0,10.0,3.5
204,4.0,11.0,3.0
205,4.0,12.0,4.5
206,4.0,13.0,3.5
207,4.0,14.0,3.0
208,4.0,15.0,4.15
209,4.0,17.0,4.4
210,4.0,18.0,3.9
211,4.0,19.0,3.5
212,4.0,20.0,3.15
213,4.0,21.0,3.0
214,4.0,22.0,4.4
215,4.0,23.0,3.3
216,4.0,24.0,3.2
217,4.0,25.0,3.95
218,4.0,26.0,3.2
219,4.0,27.0,4.15
220,4.0,28.0,4.25
221,4.0,29.0,3.65
222,4.0,30.0,3.5
223,4.0,31.0,3.5
224,4.0,32.0,4.2
225,4.0,33.0,3.65
226,4.0,34.0,2.65
227,4.0,35.0,3.05
228,4.0,36.0,3.7
229,4.0,37.0,3.5
230,4.0,38.0,4.05
231,4.0,39.0,4.55
232,4.0,40.0,4.0
233,4.0,41.0,2.95
234,4.0,42.0,3.15
235,4.0,43.0,4.5
236,4.0,44.0,3.15
237,4.0,45.0,5.0
238,4.0,46.0,4.05
239,4.0,47.0,4.15
240,4.0,50.0,4.5
241,4.0,51.0,4.5
242,5.0,0.0,3.5
243,5.0,1.0,3.0
244,5.0,2.0,3.0
245,5.0,3.0,3.5
246,5.0,4.0,3.0
247,5.0,5.0,3.0
248,5.0,6.0,3.15
249,5.0,7.0,2.95
250,5.0,8.0,3.5
251,5.0,9.0,3.5
252,5.0,10.0,3.5
253,5.0,11.0,3.5
254,5.0,12.0,4.0
255,5.0,13.0,2.5
256,5.0,14.0,3.0
257,5.0,15.0,3.4
258,5.0,17.0,4.5
259,5.0,18.0,2.75
260,5.0,19.0,3.25
261,5.0,20.0,2.65
262,5.0,21.0,3.75
263,5.0,22.0,2.8
264,5.0,23.0,2.55
265,5.0,24.0,2.9
266,5.0,25.0,2.7
267,5.0,26.0,2.55
268,5.0,27.0,3.25
269,5.0,28.0,2.65
270,5.0,29.0,3.5
271,5.0,31.0,2.65
272,5.0,32.0,3.7
273,5.0,33.0,3.65
274,5.0,34.0,2.55
275,5.0,35.0,2.5
276,5.0,36.0,3.0
277,5.0,37.0,3.0
278,5.0,38.0,2.55
279,5.0,39.0,4.1
280,5.0,40.0,3.7
281,5.0,41.0,2.85
282,5.0,42.0,2.5
283,5.0,43.0,4.5
284,5.0,44.0,3.85
285,5.0,45.0,2.5
286,5.0,46.0,3.0
287,5.0,47.0,3.65
288,5.0,48.0,4.4
289,5.0,49.0,2.85
290,5.0,51.0,4.5
291,6.0,0.0,4.0
292,6.0,1.0,2.5
293,6.0,2.0,3.5
294,6.0,3.0,3.0
295,6.0,4.0,3.5
296,6.0,5.0,5.0
297,6.0,6.0,2.5
298,6.0,7.0,3.65
299,6.0,8.0,4.0
300,6.0,9.0,3.5
301,6.0,10.0,3.5
302,6.0,11.0,3.0
303,6.0,12.0,5.0
304,6.0,13.0,3.0
305,6.0,14.0,2.5
306,6.0,15.0,4.15
307,6.0,17.0,4.4
308,6.0,18.0,4.5
309,6.0,19.0,4.25
310,6.0,20.0,3.75
311,6.0,21.0,3.4
312,6.0,22.0,3.9
313,6.0,23.0,3.55
314,6.0,24.0,3.5
315,6.0,25.0,4.9
316,6.0,26.0,4.2
317,6.0,27.0,4.5
318,6.0,28.0,5.0
319,6.0,29.0,3.75
320,6.0,30.0,2.8
321,6.0,31.0,4.5
322,6.0,32.0,4.65
323,6.0,33.0,3.15
324,6.0,34.0,3.95
325,6.0,35.0,3.3
326,6.0,36.0,3.15
327,6.0,37.0,3.5
328,6.0,38.0,5.0
329,6.0,39.0,4.65
330,6.0,40.0,4.2
331,6.0,41.0,3.3
332,6.0,42.0,4.5
333,6.0,43.0,4.85
334,6.0,44.0,3.15
335,6.0,45.0,5.0
336,6.0,46.0,3.65
337,6.0,47.0,4.35
338,6.0,50.0,4.65
339,6.0,51.0,4.75
340,7.0,0.0,4.5
341,7.0,1.0,4.0
342,7.0,2.0,4.5
343,7.0,3.0,3.5
344,7.0,4.0,3.5
345,7.0,5.0,2.5
346,7.0,6.0,2.45
347,7.0,7.0,2.65
348,7.0,8.0,4.0
349,7.0,9.0,3.5
350,7.0,10.0,3.0
351,7.0,11.0,4.0
352,7.0,12.0,4.0
353,7.0,13.0,3.0
354,7.0,14.0,4.1
355,7.0,15.0,3.5
356,7.0,17.0,3.0
357,7.0,18.0,2.75
358,7.0,19.0,3.75
359,7.0,20.0,2.5
360,7.0,21.0,3.0
361,7.0,22.0,4.0
362,7.0,23.0,3.2
363,7.0,24.0,3.7
364,7.0,25.0,4.3
365,7.0,26.0,2.5
366,7.0,27.0,3.75
367,7.0,28.0,3.0
368,7.0,29.0,2.65
369,7.0,30.0,3.85
370,7.0,31.0,2.65
371,7.0,32.0,3.6
372,7.0,33.0,3.5
373,7.0,34.0,2.55
374,7.0,35.0,3.5
375,7.0,36.0,3.4
376,7.0,37.0,4.5
377,7.0,38.0,2.55
378,7.0,39.0,3.2
379,7.0,40.0,3.6
380,7.0,41.0,3.8
381,7.0,42.0,3.35
382,7.0,43.0,2.5
383,7.0,44.0,2.8
384,7.0,45.0,3.5
385,7.0,46.0,4.0
386,7.0,47.0,3.85
387,7.0,48.0,4.15
388,7.0,49.0,3.8
389,7.0,51.0,4.5
390,8.0,0.0,4.0
391,8.0,1.0,3.5
392,8.0,2.0,4.0
393,8.0,3.0,3.0
394,8.0,4.0,3.0
395,8.0,5.0,2.5
396,8.0,6.0,3.0
397,8.0,7.0,3.5
398,8.0,8.0,4.5
399,8.0,9.0,4.0
400,8.0,10.0,3.0
401,8.0,11.0,3.5
402,8.0,12.0,5.0
403,8.0,13.0,3.5
404,8.0,14.0,3.5
405,8.0,15.0,4.15
406,8.0,17.0,3.5
407,8.0,18.0,3.0
408,8.0,19.0,3.0
409,8.0,20.0,3.0
410,8.0,21.0,3.4
411,8.0,22.0,3.25
412,8.0,23.0,3.2
413,8.0,24.0,4.0
414,8.0,25.0,3.8
415,8.0,26.0,3.5
416,8.0,27.0,3.9
417,8.0,28.0,3.9
418,8.0,29.0,3.15
419,8.0,30.0,3.5
420,8.0,31.0,3.0
421,8.0,32.0,4.2
422,8.0,33.0,2.65
423,8.0,34.0,3.2
424,8.0,35.0,3.85
425,8.0,36.0,2.8
426,8.0,37.0,3.4
427,8.0,38.0,4.0
428,8.0,39.0,4.1
429,8.0,40.0,4.05
430,8.0,41.0,2.65
431,8.0,42.0,3.5
432,8.0,43.0,2.95
433,8.0,44.0,3.65
434,8.0,45.0,3.75
435,8.0,46.0,3.35
436,8.0,47.0,4.15
437,8.0,48.0,4.85
438,8.0,49.0,3.9
439,8.0,51.0,4.15
440,9.0,0.0,4.0
441,9.0,1.0,3.0
442,9.0,2.0,3.5
443,9.0,3.0,3.5
444,9.0,4.0,3.5
445,9.0,5.0,3.5
446,9.0,6.0,2.5
447,9.0,7.0,3.0
448,9.0,8.0,4.0
449,9.0,9.0,3.5
450,9.0,10.0,3.5
451,9.0,11.0,3.5
452,9.0,12.0,4.5
453,9.0,13.0,3.0
454,9.0,14.0,4.0
455,9.0,15.0,3.9
456,9.0,17.0,3.9
457,9.0,18.0,3.0
458,9.0,19.0,3.0
459,9.0,20.0,2.5
460,9.0,21.0,3.0
461,9.0,22.0,3.45
462,9.0,23.0,3.2
463,9.0,24.0,3.75
464,9.0,25.0,3.75
465,9.0,26.0,3.25
466,9.0,27.0,3.0
467,9.0,28.0,3.5
468,9.0,29.0,3.25
469,9.0,30.0,2.5
470,9.0,31.0,3.0
471,9.0,32.0,4.3
472,9.0,33.0,2.1
473,9.0,34.0,2.7
474,9.0,35.0,2.65
475,9.0,36.0,3.35
476,9.0,37.0,3.35
477,9.0,38.0,2.65
478,9.0,39.0,3.5
479,9.0,40.0,3.7
480,9.0,41.0,2.6
481,9.0,42.0,3.3
482,9.0,43.0,3.05
483,9.0,44.0,4.5
484,9.0,45.0,4.0
485,9.0,46.0,4.05
