,IDSV,IDMON,DIEM
0,0.0,0.0,3.0
1,0.0,3.0,3.0
2,0.0,4.0,4.0
3,0.0,5.0,2.5
4,0.0,7.0,3.0
5,0.0,8.0,3.0
6,0.0,9.0,3.0
7,0.0,10.0,2.5
8,0.0,12.0,2.5
9,0.0,13.0,2.5
10,0.0,15.0,3.4
11,0.0,18.0,3.0
12,0.0,19.0,4.0
13,0.0,20.0,3.75
14,0.0,21.0,3.25
15,0.0,22.0,3.75
16,0.0,23.0,3.55
17,0.0,24.0,3.55
18,0.0,25.0,3.3
19,0.0,26.0,3.2
20,0.0,27.0,3.9
21,0.0,28.0,3.25
22,0.0,29.0,2.9
23,0.0,30.0,3.4
24,0.0,31.0,3.15
25,0.0,32.0,4.2
26,0.0,33.0,3.5
27,0.0,34.0,3.25
28,0.0,35.0,2.65
29,0.0,36.0,2.9
30,0.0,37.0,2.85
31,0.0,38.0,2.6
32,0.0,39.0,3.75
33,0.0,40.0,3.8
34,0.0,41.0,3.6
35,1.0,0.0,5.0
36,1.0,1.0,3.5
37,1.0,2.0,3.5
38,1.0,3.0,3.0
39,1.0,4.0,3.5
40,1.0,5.0,3.0
41,1.0,6.0,3.0
42,1.0,7.0,3.25
43,1.0,8.0,4.5
44,1.0,9.0,4.0
45,1.0,10.0,3.0
46,1.0,11.0,2.5
47,1.0,12.0,5.0
48,1.0,13.0,3.0
49,1.0,14.0,3.5
50,1.0,15.0,4.25
51,1.0,17.0,3.75
52,1.0,18.0,3.15
53,1.0,19.0,4.0
54,1.0,20.0,3.4
55,1.0,21.0,3.25
56,1.0,22.0,3.75
57,1.0,23.0,3.9
58,1.0,24.0,3.65
59,1.0,25.0,3.55
60,1.0,26.0,3.9
61,1.0,27.0,3.75
62,1.0,28.0,3.0
63,1.0,29.0,3.25
64,1.0,30.0,3.85
65,1.0,31.0,3.0
66,1.0,32.0,3.45
67,1.0,33.0,4.0
68,1.0,34.0,2.85
69,1.0,35.0,2.95
70,1.0,36.0,3.0
71,1.0,37.0,3.35
72,1.0,38.0,3.55
73,1.0,39.0,3.65
74,1.0,40.0,3.65
75,1.0,41.0,3.15
76,2.0,0.0,3.0
77,2.0,1.0,3.5
78,2.0,2.0,4.0
79,2.0,3.0,3.5
80,2.0,4.0,2.5
81,2.0,6.0,3.45
82,2.0,7.0,2.55
83,2.0,8.0,3.5
84,2.0,9.0,4.0
85,2.0,10.0,2.5
86,2.0,11.0,2.5
87,2.0,12.0,4.0
88,2.0,13.0,3.5
89,2.0,14.0,3.5
90,2.0,15.0,3.65
91,2.0,17.0,3.65
92,2.0,18.0,3.0
93,2.0,19.0,3.25
94,2.0,20.0,2.75
95,2.0,21.0,3.0
96,2.0,22.0,3.4
97,2.0,23.0,2.95
98,2.0,24.0,3.45
99,2.0,25.0,3.8
100,2.0,26.0,3.3
101,2.0,27.0,3.65
102,2.0,28.0,3.75
103,2.0,29.0,3.15
104,2.0,30.0,2.5
105,2.0,31.0,3.0
106,2.0,32.0,4.2
107,2.0,33.0,3.15
108,2.0,34.0,2.65
109,2.0,35.0,2.7
110,2.0,36.0,3.5
111,2.0,37.0,3.4
112,2.0,38.0,2.8
113,2.0,39.0,4.25
114,2.0,40.0,3.65
115,2.0,41.0,3.2
116,3.0,0.0,4.0
117,3.0,1.0,3.0
118,3.0,2.0,4.0
119,3.0,3.0,3.5
120,3.0,4.0,3.5
121,3.0,5.0,3.5
122,3.0,6.0,3.0
123,3.0,7.0,3.0
124,3.0,8.0,4.0
125,3.0,9.0,4.0
126,3.0,10.0,3.0
127,3.0,11.0,3.0
128,3.0,12.0,4.5
129,3.0,13.0,3.0
130,3.0,14.0,3.5
131,3.0,15.0,3.75
132,3.0,17.0,3.75
133,3.0,18.0,2.9
134,3.0,19.0,3.25
135,3.0,20.0,3.0
136,3.0,21.0,3.0
137,3.0,22.0,3.15
138,3.0,23.0,3.15
139,3.0,24.0,3.3
140,3.0,25.0,3.9
141,3.0,26.0,3.65
142,3.0,27.0,4.25
143,3.0,28.0,4.4
144,3.0,29.0,3.15
145,3.0,30.0,3.45
146,3.0,31.0,3.5
147,3.0,32.0,4.2
148,3.0,33.0,3.15
149,3.0,34.0,3.1
150,3.0,35.0,3.0
151,3.0,36.0,3.15
152,3.0,37.0,3.35
153,3.0,38.0,3.25
154,3.0,39.0,3.7
155,3.0,40.0,3.85
156,3.0,41.0,3.45
157,4.0,0.0,4.0
158,4.0,1.0,3.0
159,4.0,2.0,4.5
160,4.0,3.0,3.5
161,4.0,4.0,3.5
162,4.0,5.0,4.0
163,4.0,6.0,3.0
164,4.0,7.0,3.5
165,4.0,8.0,3.5
166,4.0,9.0,3.5
167,4.0,10.0,3.5
168,4.0,11.0,3.0
169,4.0,12.0,4.5
170,4.0,13.0,3.5
171,4.0,14.0,3.0
172,4.0,15.0,4.15
173,4.0,17.0,4.4
174,4.0,18.0,3.9
175,4.0,19.0,3.5
176,4.0,20.0,3.15
177,4.0,21.0,3.0
178,4.0,22.0,4.4
179,4.0,23.0,3.3
180,4.0,24.0,3.2
181,4.0,25.0,3.95
182,4.0,26.0,3.2
183,4.0,27.0,4.15
184,4.0,28.0,4.25
185,4.0,29.0,3.65
186,4.0,30.0,3.5
187,4.0,31.0,3.5
188,4.0,32.0,4.2
189,4.0,33.0,3.65
190,4.0,34.0,2.65
191,4.0,35.0,3.05
192,4.0,36.0,3.7
193,4.0,37.0,3.5
194,4.0,38.0,4.05
195,4.0,39.0,4.55
196,4.0,40.0,4.0
197,4.0,41.0,2.95
198,5.0,0.0,3.5
199,5.0,1.0,3.0
200,5.0,2.0,3.0
201,5.0,3.0,3.5
202,5.0,4.0,3.0
203,5.0,5.0,3.0
204,5.0,6.0,3.15
205,5.0,7.0,2.95
206,5.0,8.0,3.5
207,5.0,9.0,3.5
208,5.0,10.0,3.5
209,5.0,11.0,3.5
210,5.0,12.0,4.0
211,5.0,13.0,2.5
212,5.0,14.0,3.0
213,5.0,15.0,3.4
214,5.0,17.0,4.5
215,5.0,18.0,2.75
216,5.0,19.0,3.25
217,5.0,20.0,2.65
218,5.0,21.0,3.75
219,5.0,22.0,2.8
220,5.0,23.0,2.55
221,5.0,24.0,2.9
222,5.0,25.0,2.7
223,5.0,26.0,2.55
224,5.0,27.0,3.25
225,5.0,28.0,2.65
226,5.0,29.0,3.5
227,5.0,31.0,2.65
228,5.0,32.0,3.7
229,5.0,33.0,3.65
230,5.0,34.0,2.55
231,5.0,35.0,2.5
232,5.0,36.0,3.0
233,5.0,37.0,3.0
234,5.0,38.0,2.55
235,5.0,39.0,4.1
236,5.0,40.0,3.7
237,5.0,41.0,2.85
238,6.0,0.0,4.0
239,6.0,1.0,2.5
240,6.0,2.0,3.5
241,6.0,3.0,3.0
242,6.0,4.0,3.5
243,6.0,5.0,5.0
244,6.0,6.0,2.5
245,6.0,7.0,3.65
246,6.0,8.0,4.0
247,6.0,9.0,3.5
248,6.0,10.0,3.5
249,6.0,11.0,3.0
250,6.0,12.0,5.0
251,6.0,13.0,3.0
252,6.0,14.0,2.5
253,6.0,15.0,4.15
254,6.0,17.0,4.4
255,6.0,18.0,4.5
256,6.0,19.0,4.25
257,6.0,20.0,3.75
258,6.0,21.0,3.4
259,6.0,22.0,3.9
260,6.0,23.0,3.55
261,6.0,24.0,3.5
262,6.0,25.0,4.9
263,6.0,26.0,4.2
264,6.0,27.0,4.5
265,6.0,28.0,5.0
266,6.0,29.0,3.75
267,6.0,30.0,2.8
268,6.0,31.0,4.5
269,6.0,32.0,4.65
270,6.0,33.0,3.15
271,6.0,34.0,3.95
272,6.0,35.0,3.3
273,6.0,36.0,3.15
274,6.0,37.0,3.5
275,6.0,38.0,5.0
276,6.0,39.0,4.65
277,6.0,40.0,4.2
278,6.0,41.0,3.3
279,7.0,0.0,4.5
280,7.0,1.0,4.0
281,7.0,2.0,4.5
282,7.0,3.0,3.5
283,7.0,4.0,3.5
284,7.0,5.0,2.5
285,7.0,6.0,2.45
286,7.0,7.0,2.65
287,7.0,8.0,4.0
288,7.0,9.0,3.5
289,7.0,10.0,3.0
290,7.0,11.0,4.0
291,7.0,12.0,4.0
292,7.0,13.0,3.0
293,7.0,14.0,4.1
294,7.0,15.0,3.5
295,7.0,17.0,3.0
296,7.0,18.0,2.75
297,7.0,19.0,3.75
298,7.0,20.0,2.5
299,7.0,21.0,3.0
300,7.0,22.0,4.0
301,7.0,23.0,3.2
302,7.0,24.0,3.7
303,7.0,25.0,4.3
304,7.0,26.0,2.5
305,7.0,27.0,3.75
306,7.0,28.0,3.0
307,7.0,29.0,2.65
308,7.0,30.0,3.85
309,7.0,31.0,2.65
310,7.0,32.0,3.6
311,7.0,33.0,3.5
312,7.0,34.0,2.55
313,7.0,35.0,3.5
314,7.0,36.0,3.4
315,7.0,37.0,4.5
316,7.0,38.0,2.55
317,7.0,39.0,3.2
318,7.0,40.0,3.6
319,7.0,41.0,3.8
320,8.0,0.0,4.0
321,8.0,1.0,3.5
322,8.0,2.0,4.0
323,8.0,3.0,3.0
324,8.0,4.0,3.0
325,8.0,5.0,2.5
326,8.0,6.0,3.0
327,8.0,7.0,3.5
328,8.0,8.0,4.5
329,8.0,9.0,4.0
330,8.0,10.0,3.0
331,8.0,11.0,3.5
332,8.0,12.0,5.0
333,8.0,13.0,3.5
334,8.0,14.0,3.5
335,8.0,15.0,4.15
336,8.0,17.0,3.5
337,8.0,18.0,3.0
338,8.0,19.0,3.0
339,8.0,20.0,3.0
340,8.0,21.0,3.4
341,8.0,22.0,3.25
342,8.0,23.0,3.2
343,8.0,24.0,4.0
344,8.0,25.0,3.8
345,8.0,26.0,3.5
346,8.0,27.0,3.9
347,8.0,28.0,3.9
348,8.0,29.0,3.15
349,8.0,30.0,3.5
350,8.0,31.0,3.0
351,8.0,32.0,4.2
352,8.0,33.0,2.65
353,8.0,34.0,3.2
354,8.0,35.0,3.85
355,8.0,36.0,2.8
356,8.0,37.0,3.4
357,8.0,38.0,4.0
358,8.0,39.0,4.1
359,8.0,40.0,4.05
360,8.0,41.0,2.65
361,9.0,0.0,4.0
362,9.0,1.0,3.0
363,9.0,2.0,3.5
364,9.0,3.0,3.5
365,9.0,4.0,3.5
366,9.0,5.0,3.5
367,9.0,6.0,2.5
368,9.0,7.0,3.0
369,9.0,8.0,4.0
370,9.0,9.0,3.5
371,9.0,10.0,3.5
372,9.0,11.0,3.5
373,9.0,12.0,4.5
374,9.0,13.0,3.0
375,9.0,14.0,4.0
376,9.0,15.0,3.9
377,9.0,17.0,3.9
378,9.0,18.0,3.0
379,9.0,19.0,3.0
380,9.0,20.0,2.5
381,9.0,21.0,3.0
382,9.0,22.0,3.45
383,9.0,23.0,3.2
384,9.0,24.0,3.75
385,9.0,25.0,3.75
386,9.0,26.0,3.25
387,9.0,27.0,3.0
388,9.0,28.0,3.5
389,9.0,29.0,3.25
390,9.0,30.0,2.5
391,9.0,31.0,3.0
392,9.0,32.0,4.3
393,9.0,33.0,2.1
394,9.0,34.0,2.7
395,9.0,35.0,2.65
396,9.0,36.0,3.35
397,9.0,37.0,3.35
398,9.0,38.0,2.65
399,9.0,39.0,3.5
400,9.0,40.0,3.7
401,9.0,41.0,2.6
402,10.0,0.0,4.5
403,10.0,1.0,3.5
404,10.0,2.0,4.0
405,10.0,3.0,3.0
406,10.0,4.0,3.0
407,10.0,5.0,2.5
408,10.0,6.0,2.9
409,10.0,7.0,2.5
410,10.0,8.0,4.5
411,10.0,9.0,4.0
412,10.0,10.0,3.5
413,10.0,11.0,3.0
414,10.0,12.0,4.5
415,10.0,13.0,2.5
416,10.0,14.0,2.5
417,10.0,15.0,4.0
418,10.0,17.0,4.0
419,10.0,18.0,2.9
420,10.0,19.0,3.5
421,10.0,20.0,3.15
422,10.0,21.0,3.4
423,10.0,22.0,4.0
424,10.0,23.0,3.45
425,10.0,24.0,3.8
426,10.0,25.0,3.3
427,10.0,26.0,3.15
428,10.0,27.0,3.65
429,10.0,28.0,3.15
430,10.0,29.0,3.25
431,10.0,30.0,3.5
432,10.0,31.0,3.15
433,10.0,32.0,4.2
434,10.0,33.0,4.0
435,10.0,34.0,2.6
436,10.0,35.0,3.75
437,10.0,36.0,3.1
438,10.0,37.0,3.6
439,10.0,38.0,3.45
440,10.0,39.0,3.9
441,10.0,40.0,3.85
442,10.0,41.0,3.7
443,11.0,0.0,3.5
444,11.0,1.0,3.0
445,11.0,2.0,3.5
446,11.0,3.0,3.5
447,11.0,4.0,3.0
448,11.0,6.0,2.5
449,11.0,7.0,3.0
450,11.0,8.0,4.0
451,11.0,9.0,3.5
452,11.0,10.0,3.0
453,11.0,11.0,3.0
454,11.0,12.0,4.5
455,11.0,13.0,3.0
456,11.0,14.0,3.5
457,11.0,15.0,3.9
458,11.0,17.0,4.15
459,11.0,18.0,3.0
460,11.0,19.0,3.5
461,11.0,20.0,3.8
462,11.0,21.0,3.4
463,11.0,22.0,3.2
464,11.0,23.0,3.45
465,11.0,24.0,3.2
466,11.0,25.0,3.9
467,11.0,26.0,3.5
468,11.0,27.0,2.75
469,11.0,28.0,3.0
470,11.0,29.0,2.9
471,11.0,30.0,2.5
472,11.0,31.0,3.0
473,11.0,32.0,3.7
474,11.0,33.0,3.5
475,11.0,34.0,2.7
476,11.0,35.0,3.1
477,11.0,36.0,3.0
478,11.0,37.0,3.35
479,11.0,38.0,2.8
480,11.0,39.0,3.5
481,11.0,40.0,3.7
482,11.0,41.0,3.7
483,12.0,0.0,3.5
484,12.0,1.0,3.5
485,12.0,2.0,4.0
